id;intitule;repA;repB;repC;repD;bonne;difficulte
Q021;Qu'est-ce que la publicité ?;Pour faire connaître les cookies;Pour dormir;Pour jouer;Pour manger;A;FACILE
Q022;Pourquoi couper la publicité ?;Pour économiser;Pour produire plus;Pour dormir;Pour jouer;A;FACILE
Q023;Que se passe-t-il si on vend tous les cookies ?;On gagne de l'argent;On perd tout;On dort;On joue;A;FACILE
Q024;Quel est le meilleur moment pour investir ?;Quand on a assez d'argent;Quand on dort;Quand on joue;Quand on mange;A;FACILE
Q025;Comment augmenter les ventes de cookies;Faire de la pub;Mettre plus de chocolats ;Augmenter la taille du cookie ;reduir la taille du cookie;A;FACILE
Q026;Pourquoi suivre la rentabilité ?;Pour savoir si on gagne;Pour dormir;Pour jouer;Pour manger;A;FACILE
Q027;Que faire si la taxe baisse ?;Gagner plus par cookie;Perdre plus;Ne rien changer;Acheter plus;A;FACILE
Q028;Qu'est-ce qu'un stock ?;Les cookies en réserve;Les voitures;Les livres;Les animaux;A;FACILE
Q029;Pourquoi avoir du stock ?;Pour vendre plus tard;Pour dormir;Pour jouer;Pour manger;A;FACILE
Q030;Que signifie capacité de production ?;Combien de cookies on peut faire;Combien d'argent;Combien d'amis;Combien de jeux;A;FACILE
Q031;Comment augmenter la capacité ?;Investir;Dormir;Jouer;Manger;A;FACILE
Q032;Qu'est-ce que le gain unitaire ?;Argent par cookie;Total d'argent;Argent par jour;Argent par semaine;A;FACILE
Q033;Pourquoi est-il important de vérifier les comptes avant un investissement ?;Pour éviter les pertes;Pour dormir;Pour jouer;Pour manger;A;MOYEN
Q034;Si on dort pendant 2 jours, combien de production perdue si capacité 10/jour ?;20;10;0;5;A;MOYEN
Q035;Si la taxe est de 1€ par cookie, combien payez-vous pour 15 cookies ? sachant que un cookie vaux 3€ ;60€;22,5€;40€;45€;A;DIFFICILE
Q036;Si coût matière 2,5€ par cookie, production 12 cookies, coût total ?;30€;3!€;20€;8€;A;DIFFICILE
Q037;Si prix 6,5€, coût matière 2,5€, taxe 1,5€, gain unitaire ?;2,5€;3€;4€;1,5€;A;DIFFICILE
Q038;Si vous avez 120€, que vous vender 5 cookies a 3€ vous avez ?;135€;152€;110€;50€;A;DIFFICILE
Q039;Que choisir entre investir 20€ pour doubler production ou dormir ?;Investir;Dormir;Les deux;Ni l'un ni l'autre;A;MOYEN
Q040;Si production actuelle 10 cookies/jour, après bonus x2, combien produisez-vous ?;20;10;5;15;A;MOYEN
Q041;Si argent 50€, taxe baisse de 2€ à 1€, gain par cookie augmente de ?;1€;2€;0€;3€;A;MOYEN
Q042;Avec gain quotidien de 12€ les 8 premiers jours, puis 18€, combien de jours pour atteindre 150€ ?;11 jours;8 jours;10 jours;15 jours;A;DIFFICILE
Q043;Si stock plein et plus de place, que faire ?;Vendre;Produire plus;Dormir;Jouer;A;MOYEN
Q044;Quel bonus choisir si argent limité ?;Le moins cher;Le plus cher;Celui du milieu;Aucun;A;MOYEN
Q045;Si publicité coûte 10€ et apporte 20€ de ventes, est-ce rentable ?;Oui;Non;Peut-être;Je ne sais pas;A;MOYEN
Q046;Que se passe-t-il si on ignore les taxes ?;On perd de l'argent;On gagne plus;Rien;On dort;A;MOYEN
Q047;Si matière première manque, que faire ?;Acheter plus;Produire moins;Dormir;Vendre;A;MOYEN
Q048;Quel indicateur regarder pour investir ?;Argent disponible;La météo;Les couleurs;Les animaux;A;MOYEN
Q049;Si gain quotidien augmente de 2€ par jour, et vous avez 10€ au jour 1, en 7 jours combien total ?;112€;70€;80€;60€;A;DIFFICILE
Q050;Pourquoi varier les cookies ?;Pour s'adapter au clients;Pour avoir plus de travail;Pour jouer;Pour manger plus ;A;MOYEN
Q051;Calculez le gain si prix 5,5€, coût matière 2,5€, taxe 1€ par cookie, production 15, combien gagnez-vous net ?;30€;57€;37€;10€;A;DIFFICILE
Q052;Si bonus coûte 150€ et triple production, combien de jours pour récupérer si gain quotidien actuel 25€ ?;3 jours;5 jours;10 jours;15 jours;A;DIFFICILE
Q053;Que faire si vous avez beaucoup d'argent de coté ?;Investir;Maintenir la production constante sans investissement; prendre des vacances ; vendre plus;A;DIFFICILE
Q054;Si plus vous vendez de cookies, plus la taxe devient élevée, que vaut-il mieux faire ?;Vendre régulièrement sans tout vendre d’un coup;Tout vendre en une fois;Ne rien vendre;Produire sans vendre;A;MOYEN
Q054;Si plus vous vendez de cookies, plus la taxe devient élevée, que vaut-il mieux faire ?;Vendre régulièrement sans tout vendre d’un coup;Tout vendre en une fois;Ne rien vendre;Produire sans vendre;A;MOYEN
Q055;À partir de combien de cookies vendus commence-t-on à gagner de l'argent si produire coûte cher au départ ?;34 cookies;50 cookies;25 cookies;100 cookies;A;MOYEN
Q056;Si vous baissez un peu le prix des cookies et que plus de clients achètent, que se passe-t-il ?;Vous vendez plus de cookies;Vous vendez moins;Rien ne change;Vous fermez la boutique;A;FACILE
Q057;Si vous investissez 200€ et gagnez 50€ par an grâce à cet investissement, est-ce une bonne idée ?;Oui mais c’est lent;Non on perd de l’argent;On ne gagne rien;Impossible à savoir;A;MOYEN
Q058;L’offre représente quoi dans un marché ?;Ce que les vendeurs proposent;Ce que les clients veulent;Le prix maximum;Les taxes;A;FACILE
Q059;Quand on ajoute trop de personnes pour produire, que peut-il se passer ?;On produit un peu plus mais moins efficacement;On produit deux fois plus;Rien ne change;La production double;A;MOYEN
Q060;Si les cookies deviennent plus chers à cause d’une taxe, que feront certains clients ?;Ils en achèteront moins;Ils en achèteront plus;Rien ne change;La production double;A;FACILE
Q061;Si une entreprise gagne 1000€ et dépense 800€, que lui reste-t-il ?;200€;800€;1000€;0€;A;MOYEN
Q062;Pourquoi produire un cookie de plus peut parfois coûter plus cher ?;Parce que les ressources sont limitées;Parce que le prix augmente tout seul;Parce que les clients le veulent;Parce que la taxe disparaît;A;MOYEN
Q063;Quand il y a beaucoup de vendeurs et de clients, qui influence surtout le prix ?;Le marché;Une seule entreprise;Le patron;Personne;A;MOYEN
Q064;Quand les gens ont moins d'argent, que se passe-t-il souvent pour les ventes de cookies ?;Elles diminuent;Elles augmentent;Rien ne change;Elles doublent;A;FACILE
Q065;Quel ingrédient est indispensable pour faire des cookies au chocolat ?;Du chocolat;Du fromage;Du poisson;Des légumes;A;FACILE
Q066;Que signifie faire du bénéfice ?;Gagner plus qu'on dépense;Dépenser plus qu'on gagne;Ne rien gagner;Tout perdre;A;FACILE
Q067;Pourquoi proposer plusieurs sortes de cookies ?;Pour attirer plus de clients;Pour compliquer la production;Pour perdre de l'argent;Pour fermer la boutique;A;FACILE
Q068;Qu'est-ce qu'un client fidèle ?;Quelqu'un qui revient acheter;Quelqu'un qui n'achète jamais;Un concurrent;Un fournisseur;A;FACILE
Q069;Que faire quand les cookies sont périmés ?;Les jeter;Les vendre plus cher;Les stocker;Les ignorer;A;FACILE
Q070;Pourquoi nettoyer l'usine ?;Pour l'hygiène;Pour perdre du temps;Pour casser les machines;Pour fermer;A;FACILE
Q071;Si vous vendez 50 cookies à 3€ chacun, combien gagnez-vous ?;150€;100€;50€;200€;A;MOYEN
Q072;Quel est l'avantage d'acheter les matières premières en grande quantité ?;Payer moins cher par unité;Payer plus cher;Avoir moins de stock;Produire moins;A;MOYEN
Q073;Si la demande augmente, que devez-vous faire ?;Produire plus;Produire moins;Fermer l'usine;Baisser les prix;A;MOYEN
Q074;Qu'est-ce qu'un concurrent ?;Une autre biscuiterie;Un client;Un employé;Un fournisseur;A;MOYEN
Q075;Si vous avez 200€ et dépensez 75€, combien reste-t-il ?;125€;275€;75€;200€;A;MOYEN
Q076;Pourquoi proposer plusieurs produits différents ?;Pour réduire les risques;Pour compliquer la gestion;Pour perdre des clients;Pour augmenter les coûts;A;MOYEN
Q077;Que signifie optimiser la production ?;Produire mieux avec moins;Produire moins avec plus;Ne rien changer;Fermer l'usine;A;MOYEN
Q078;Si un employé produit 20 cookies par heure et travaille 8 heures, combien de cookies produit-il ?;160;80;200;100;A;MOYEN
Q079;Qu'est-ce que le chiffre d'affaires ?;Le total des ventes;Le total des dépenses;Le bénéfice;La perte;A;MOYEN
Q080;Si le loyer augmente de 50€ par mois, quel est l'effet sur l'année ?;-600€;-50€;+600€;Aucun;A;MOYEN
Q081;Si vous vendez pour 500€ et que vos dépenses sont de 350€, quel est votre bénéfice ?;150€;500€;350€;50€;A;MOYEN
Q082;Si vous empruntez de l'argent à une banque, pourquoi remboursez-vous plus ?;À cause des intérêts;À cause des taxes;À cause des ventes;À cause des clients;A;FACILE
Q083;À quoi correspond le point mort d’une entreprise ?;Le moment où on ne perd plus d’argent;Le premier jour;Le dernier jour;Quand on ferme;A;MOYEN
Q084;Quand les prix augmentent un peu chaque année, comment appelle-t-on cela ?;L’inflation;La publicité;La production;La taxe;A;FACILE
Q085;Si un cookie coûte 3€ à produire et est vendu 5€, que représente la différence ?;Le gain;La taxe;La perte;Le stock;A;FACILE
Q086;Si la production devient plus efficace, que se passe-t-il ?;On produit plus avec le même effort;On produit moins;Les prix augmentent;L’usine ferme;A;FACILE
Q087;Pourquoi étaler le prix d’une machine sur plusieurs années ?;Parce qu’elle sert longtemps;Parce qu’elle coûte moins cher;Parce qu’elle se casse;Parce qu’elle est gratuite;A;MOYEN
Q088;Si les ventes baissent, que doit faire l’entreprise ?;S’adapter;Produire plus sans réfléchir;Dormir;Ignorer le problème;A;MOYEN
Q089;Si vous choisissez un projet moins rentable qu’un autre, que perdez-vous ?;De l’argent potentiel;Du temps seulement;Rien;Des clients;A;MOYEN
Q090;Pourquoi distingue-t-on le prix HT et le prix TTC ?;À cause des taxes;À cause du stock;À cause des clients;À cause des machines;A;MOYEN
Q091;Quel outil permet de suivre les entrées et sorties d'argent ?;Un livre de comptes;Un four;Une balance;Un thermomètre;A;FACILE
Q092;Que signifie être en rupture de stock ?;Ne plus avoir de cookies à vendre;Avoir trop de cookies;Fermer le magasin;Ouvrir une nouvelle boutique;A;FACILE
Q093;Pourquoi emballer les cookies ?;Pour les protéger et les vendre;Pour les cacher;Pour les jeter;Pour les manger;A;FACILE
Q094;Qu'est-ce qu'une commande client ?;Une demande d'achat;Un refus d'achat;Un vol;Un cadeau;A;FACILE
Q095;Que fait un livreur ?;Apporte les cookies aux clients;Fabrique les cookies;Mange les cookies;Jette les cookies;A;FACILE
Q096;Pourquoi noter les ventes chaque jour ?;Pour suivre l'activité;Pour perdre du temps;Pour oublier;Pour s'amuser;A;FACILE
Q097;Qu'est-ce qu'un fournisseur ?;Celui qui vend les ingrédients;Celui qui achète les cookies;Un client;Un concurrent;A;FACILE
Q098;Pourquoi comparer les prix des fournisseurs ?;Pour payer moins cher;Pour payer plus cher;Pour perdre du temps;Pour s'ennuyer;A;FACILE
Q099;Que signifie fidéliser un client ?;Le faire revenir;Le faire partir;L'ignorer;Le tromper;A;FACILE
Q100;Qu'est-ce qu'une promotion ?;Une réduction de prix temporaire;Une augmentation de prix;Une fermeture;Un vol;A;FACILE
Q101;Si vous achetez 100 kg de farine à 2€ le kilo, combien payez-vous ?;200€;100€;50€;300€;A;MOYEN
Q102;Quel est l'intérêt d'un programme de fidélité ?;Garder les clients;Perdre les clients;Augmenter les prix;Fermer le magasin;A;MOYEN
Q103;Si un cookie pèse 50 g et que vous avez 5 kg de pâte, combien de cookies pouvez-vous faire ?;100;50;200;75;A;MOYEN
Q104;Qu'est-ce qu'une marge commerciale ?;La différence entre le prix de vente et le coût;Le prix de vente;Le coût;La taxe;A;MOYEN
Q105;Si vous vendez 30 cookies par jour pendant 5 jours, combien en avez-vous vendu ?;150;30;100;200;A;MOYEN
Q106;Pourquoi faire des soldes ?;Pour écouler le stock;Pour garder le stock;Pour augmenter les prix;Pour fermer;A;MOYEN
Q107;Si le coût de production baisse, que se passe-t-il pour le bénéfice ?;Il augmente;Il baisse;Il disparaît;Il reste pareil;A;MOYEN
Q108;Qu'est-ce qu'un devis ?;Une estimation de prix;Une facture payée;Un bon de commande;Un reçu;A;MOYEN
Q109;Si vous avez 3 employés payés 1500€ chacun par mois, combien payez-vous au total ?;4500€;1500€;3000€;6000€;A;MOYEN
Q110;Pourquoi analyser la concurrence ?;Pour s'améliorer;Pour copier;Pour abandonner;Pour ignorer le marché;A;MOYEN
Q111;Si les charges fixes sont de 500€ et les charges variables de 2€ par cookie, combien coûte la production de 200 cookies ?;900€;500€;400€;700€;A;MOYEN
Q112;Qu'est-ce que le seuil de rentabilité ?;Le moment où on ne perd plus d'argent;Le moment où on ferme;Le premier jour;Le dernier jour;A;MOYEN
Q113;Si une entreprise gagne 2000€ et dépense 1550€, combien lui reste-t-il ?;450€;600€;2000€;1550€;A;MOYEN
Q114;Si vous investissez 500€ et gagnez 75€ par mois, quand commencez-vous à gagner de l'argent ?;Après plusieurs mois;Dès le premier jour;Jamais;Après un an;A;MOYEN
Q115;Pourquoi produire une unité de plus peut coûter plus cher ?;Car on utilise plus de ressources;Car le prix augmente;Car la taxe disparaît;Car les clients le veulent;A;MOYEN
Q116;Si vous augmentez trop le prix des cookies, que peuvent faire les clients ?;Acheter moins;Acheter plus;Ne rien changer;Acheter tout;A;FACILE
Q117;Pourquoi une entreprise a-t-elle besoin de trésorerie ?;Pour payer ses dépenses;Pour faire joli;Pour produire moins;Pour fermer;A;FACILE
Q118;Si produire un cookie coûte 10€, à quel prix faut-il le vendre pour gagner de l'argent ?;Plus de 10€;10€;Moins de 10€;Ne pas vendre;A;FACILE
Q119;Quand emprunter de l'argent peut être une bonne idée ?;Quand cela permet de gagner plus;Quand on n’a rien à faire;Quand on perd de l’argent;Quand on ferme;A;MOYEN
Q120;Pourquoi produire trop peut devenir un problème ?;Car cela coûte de plus en plus cher;Car on gagne plus;Car les clients disparaissent;Car la production double;A;MOYEN
Q121;Pourquoi comparer ce qu’on possède et ce qu’on doit ?;Pour savoir si on peut payer;Pour produire plus;Pour vendre plus;Pour jouer;A;FACILE
Q122;Si les gens gagnent plus d'argent, que peuvent-ils faire ?;Acheter plus;Acheter moins;Ne rien faire;Dormir;A;FACILE
Q123;Si produire 150 cookies coûte 600€, combien coûte un cookie en moyenne ?;4€;600€;150€;2€;A;MOYEN
Q124;Pourquoi un crédit coûte-t-il plus cher que la somme empruntée ?;À cause des intérêts;À cause des taxes;À cause du stock;À cause des clients;A;FACILE
Q125;Si une entreprise vend pour 5000€ et utilise 2000€ d’ingrédients, que reste-t-il pour payer le reste ?;3000€;7000€;5000€;2000€;A;MOYEN
